City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,karratha,-20.7377,116.8463,28.66,62,31,3.84,AU,1680889082
170,lagoa,39.05,-27.9833,12.0,67,52,6.45,PT,1680889082
171,qiongshan,20.0058,110.3542,21.99,94,100,4.0,CN,1680889083
172,canakkale,40.0833,26.8333,8.32,90,34,2.07,TR,1680889083
173,el salto,20.3333,-104.5,28.45,17,0,1.97,MX,1680889084
174,baton rouge,30.4508,-91.1545,19.4,81,100,4.63,US,1680889084
175,socha,5.9976,-72.6928,13.13,87,100,1.63,CO,1680889085
176,codrington,-38.2667,141.9667,14.22,89,95,6.23,AU,1680889086
177,sao filipe,14.8961,-24.4956,22.6,77,63,6.57,CV,1680889086
178,hojai,26.0,92.8667,23.0,47,3,1.86,IN,1680889087
179,iqaluit,63.7506,-68.5145,-19.15,65,20,10.29,CA,1680889087
180,odienne,9.51,-7.5692,29.07,51,70,1.92,CI,1680889088
181,clyde,41.3042,-82.9752,8.99,63,98,5.61,US,1680889089
182,leskovac,42.9981,21.9461,6.77,86,75,0.62,RS,1680889089
183,lompoc,34.6391,-120.4579,17.14,69,40,4.12,US,1680888825
184,nanortalik,60.1432,-45.2371,-0.34,82,28,6.08,GL,1680889090
185,birao,10.2849,22.7882,31.16,10,85,2.89,CF,1680889091
186,boyolangu,-8.1181,111.8935,23.85,88,97,0.95,ID,1680889091
187,kousseri,12.0769,15.0306,39.98,16,71,1.03,CM,1680889092
188,kaseda,31.4167,130.3167,14.35,65,8,11.16,JP,1680889092
189,tombouctou,20.0,-3.0,30.51,10,92,2.56,ML,1680889093
190,korfez,40.7767,29.7297,10.44,94,98,3.0,TR,1680889093
191,lincoln,40.8,-96.667,18.97,31,0,7.72,US,1680889094
192,flin flon,54.7682,-101.865,-0.09,32,0,3.09,CA,1680889095
193,tuatapere,-46.1333,167.6833,5.09,90,17,2.3,NZ,1680889095
194,ponta do sol,32.6667,-17.1,19.51,67,26,2.24,PT,1680889096
195,corn island,12.1694,-83.0418,26.35,76,54,6.98,NI,1680889097
196,saint-augustin,51.226,-58.6502,3.64,46,91,7.01,CA,1680889097
197,egvekinot,66.3167,-179.1667,-26.3,88,61,1.9,RU,1680889098
198,bireun,5.203,96.7009,25.89,85,93,2.03,ID,1680889098
199,moron,-34.6534,-58.6198,26.64,56,2,3.18,AR,1680889099
200,port macquarie,-31.4333,152.9167,14.94,79,5,3.6,AU,1680889099
